开始时间：2020年08月06日 13:51:57 												
传感器1	加速度X	加速度Y	加速度Z	角速度X	角速度Y	角速度Z	角度X	角度Y	角度Z	传感器2	加速度X	加速度Y
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.13	0.94	-1.1	-1.1	-0.31	7.7	10.27	97	相对角度姿态	7.7	10.27
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.11	0.94	-2.44	-2.44	-0.24	7.39	10.16	96.8	相对角度姿态	7.39	10.16
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.11	0.93	-1.1	-1.1	-0.98	7.16	10.18	96.64	相对角度姿态	7.16	10.18
Mac:DA:3E:20:B6:30:BA传感器0	-0.14	0.13	0.95	0.55	0.55	0.12	7.37	9.99	96.47	相对角度姿态	7.37	9.99
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.12	0.95	1.16	1.16	1.65	7.25	9.88	96.41	相对角度姿态	7.25	9.88
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.12	0.95	-0.18	-0.18	1.34	7.21	9.84	96.35	相对角度姿态	7.21	9.84
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.12	0.94	-2.99	-2.99	-0.06	7.18	9.83	96.27	相对角度姿态	7.18	9.83
Mac:DA:3E:20:B6:30:BA传感器0	-0.14	0.12	0.95	1.59	1.59	2.56	7.15	9.74	96.19	相对角度姿态	7.15	9.74
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.11	0.95	-2.69	-2.69	0.12	7.15	9.78	96.23	相对角度姿态	7.15	9.78
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.1	1.02	-0.24	-0.24	1.34	7.18	9.78	96.25	相对角度姿态	7.18	9.78
Mac:DA:3E:20:B6:30:BA传感器0	-0.18	0.17	1.19	2.2	2.2	6.84	7.36	10.07	96.74	相对角度姿态	7.36	10.07
Mac:DA:3E:20:B6:30:BA传感器0	-0.27	0.15	1.17	-25.39	-25.39	0.98	5.79	11.72	97.09	相对角度姿态	5.79	11.72
Mac:DA:3E:20:B6:30:BA传感器0	-0.4	0.1	1.03	-40.28	-40.28	-8.06	2.49	13.04	96.49	相对角度姿态	2.49	13.04
Mac:DA:3E:20:B6:30:BA传感器0	-0.31	0.02	1.02	-40.59	-40.59	-13.79	-1.37	11	95.18	相对角度姿态	-1.37	11
Mac:DA:3E:20:B6:30:BA传感器0	-0.25	-0.01	0.97	-25.39	-25.39	-21.79	-5.3	9.98	93.01	相对角度姿态	-5.3	9.98
Mac:DA:3E:20:B6:30:BA传感器0	-0.24	-0.03	0.97	-41.56	-41.56	-22.03	-8.77	9.2	90.73	相对角度姿态	-8.77	9.2
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	-0.25	0.78	-31.31	-31.31	-46.02	-13.52	8.94	86.64	相对角度姿态	-13.52	8.94
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	-0.31	0.74	-17.27	-17.27	-46.57	-16.45	9.76	82.1	相对角度姿态	-16.45	9.76
Mac:DA:3E:20:B6:30:BA传感器0	-0.18	-0.27	0.87	6.16	6.16	-41.81	-17	10.24	77.14	相对角度姿态	-17	10.24
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	-0.25	0.96	4.94	4.94	-27.53	-17	6.98	74.8	相对角度姿态	-17	6.98
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	-0.27	0.81	10.86	10.86	-30.15	-16.26	5.71	72.38	相对角度姿态	-16.26	5.71
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	-0.23	0.91	24.72	24.72	-36.62	-15.06	3.77	70.37	相对角度姿态	-15.06	3.77
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	-0.18	0.99	31.13	31.13	-52.12	-12.22	2.12	66.86	相对角度姿态	-12.22	2.12
Mac:DA:3E:20:B6:30:BA传感器0	-0.07	-0.19	0.8	16.36	16.36	-47.79	-10.11	2.19	63.34	相对角度姿态	-10.11	2.19
Mac:DA:3E:20:B6:30:BA传感器0	0.13	-0.13	0.99	31.37	31.37	-44.56	-8.09	0.88	60.21	相对角度姿态	-8.09	0.88
Mac:DA:3E:20:B6:30:BA传感器0	0.14	-0.15	0.93	30.76	30.76	-4.27	-5.18	1.36	59.4	相对角度姿态	-5.18	1.36
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	-0.03	1.03	27.83	27.83	15.32	-1.85	2.33	61.42	相对角度姿态	-1.85	2.33
Mac:DA:3E:20:B6:30:BA传感器0	-0.31	0.06	1.1	26.49	26.49	-7.08	1.18	3.71	62.99	相对角度姿态	1.18	3.71
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.03	1.07	28.38	28.38	10.01	3.53	5.28	63.32	相对角度姿态	3.53	5.28
Mac:DA:3E:20:B6:30:BA传感器0	-0.14	0.19	1.14	33.39	33.39	25.02	7.61	7.51	66.28	相对角度姿态	7.61	7.51
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.23	1.01	32.17	32.17	24.17	10.67	10.4	69.49	相对角度姿态	10.67	10.4
Mac:DA:3E:20:B6:30:BA传感器0	-0.26	0.23	0.89	26.12	26.12	26.12	14.05	14.11	73.82	相对角度姿态	14.05	14.11
Mac:DA:3E:20:B6:30:BA传感器0	-0.54	0.32	0.69	12.33	12.33	21.3	18.72	20.14	78.9	相对角度姿态	18.72	20.14
Mac:DA:3E:20:B6:30:BA传感器0	-0.27	0.29	0.76	10.19	10.19	40.89	20.32	19.8	82.02	相对角度姿态	20.32	19.8
Mac:DA:3E:20:B6:30:BA传感器0	-0.44	0.39	0.95	7.75	7.75	69.52	23.27	18.87	88.8	相对角度姿态	23.27	18.87
Mac:DA:3E:20:B6:30:BA传感器0	-0.26	0.46	0.81	-9.4	-9.4	67.63	24.57	16.42	95.37	相对角度姿态	24.57	16.42
Mac:DA:3E:20:B6:30:BA传感器0	-0.27	0.44	0.9	-31.92	-31.92	59.94	23.94	14.66	101.05	相对角度姿态	23.94	14.66
Mac:DA:3E:20:B6:30:BA传感器0	-0.42	0.43	1.07	-49.38	-49.38	45.65	21.55	13.46	105.83	相对角度姿态	21.55	13.46
Mac:DA:3E:20:B6:30:BA传感器0	-0.39	0.36	1.06	-60.24	-60.24	14.47	16.84	13.11	108.08	相对角度姿态	16.84	13.11
Mac:DA:3E:20:B6:30:BA传感器0	-0.25	0.2	0.8	-32.53	-32.53	-2.56	11.82	13.8	107.94	相对角度姿态	11.82	13.8
Mac:DA:3E:20:B6:30:BA传感器0	-0.17	0.18	0.67	-19.53	-19.53	-4.33	10.17	15.12	106.36	相对角度姿态	10.17	15.12
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.05	0.77	-36.99	-36.99	-7.75	6.45	14.12	104.92	相对角度姿态	6.45	14.12
Mac:DA:3E:20:B6:30:BA传感器0	-0.18	-0.05	0.79	-3.48	-3.48	-9.34	3.53	14.1	103.66	相对角度姿态	3.53	14.1
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0	0.9	12.27	12.27	-5.55	3.69	13.98	102.76	相对角度姿态	3.69	13.98
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.09	1.02	3.91	3.91	-5.68	4.71	13.66	101.99	相对角度姿态	4.71	13.66
Mac:DA:3E:20:B6:30:BA传感器0	-0.17	0.05	0.91	2.14	2.14	-5.31	4.32	13.91	100.78	相对角度姿态	4.32	13.91
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.06	0.96	6.04	6.04	-3.66	4.66	13.34	100.01	相对角度姿态	4.66	13.34
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.05	0.94	2.2	2.2	-6.23	4.76	13.3	99.14	相对角度姿态	4.76	13.3
Mac:DA:3E:20:B6:30:BA传感器0	-0.18	0.07	0.95	1.89	1.89	-2.08	4.91	13.06	98.57	相对角度姿态	4.91	13.06
Mac:DA:3E:20:B6:30:BA传感器0	-0.18	0.09	0.97	4.03	4.03	-0.61	5.18	12.95	98.21	相对角度姿态	5.18	12.95
Mac:DA:3E:20:B6:30:BA传感器0	-0.18	0.09	0.95	-1.4	-1.4	-0.12	5.25	12.54	97.94	相对角度姿态	5.25	12.54
Mac:DA:3E:20:B6:30:BA传感器0	-0.17	0.07	0.9	5.74	5.74	-0.43	5.31	11.98	97.58	相对角度姿态	5.31	11.98
Mac:DA:3E:20:B6:30:BA传感器0	-0.13	0.08	1.01	1.95	1.95	2.08	5.5	10.17	97.4	相对角度姿态	5.5	10.17
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.11	1	1.04	1.04	1.77	5.35	6.84	97.56	相对角度姿态	5.35	6.84
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.11	1	1.04	1.04	1.77	5.35	6.84	97.56	相对角度姿态	5.35	6.84
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.08	0.98	0.06	0.06	0	5.28	6.14	97.33	相对角度姿态	5.28	6.14
Mac:DA:3E:20:B6:30:BA传感器0	-0.07	0.08	0.95	-0.18	-0.18	-0.31	5	6.03	97.1	相对角度姿态	5	6.03
Mac:DA:3E:20:B6:30:BA传感器0	-0.1	0.09	0.98	10.01	10.01	-0.24	5.2	5.91	96.94	相对角度姿态	5.2	5.91
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.1	0.99	4.64	4.64	1.04	6.1	5.43	96.71	相对角度姿态	6.1	5.43
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.11	0.97	-1.71	-1.71	3.23	6.16	4.66	96.6	相对角度姿态	6.16	4.66
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.1	0.96	1.59	1.59	2.56	6.14	3.99	96.5	相对角度姿态	6.14	3.99
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.09	0.97	-1.95	-1.95	1.04	5.87	3.53	96.34	相对角度姿态	5.87	3.53
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.09	0.97	-0.49	-0.49	1.59	5.73	3.33	96.3	相对角度姿态	5.73	3.33
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.1	0.97	-5.19	-5.19	-0.12	5.66	3.17	96.25	相对角度姿态	5.66	3.17
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.09	0.97	-2.2	-2.2	0.49	5.43	3.03	96.07	相对角度姿态	5.43	3.03
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.09	0.98	0.12	0.12	0.55	5.33	2.77	95.94	相对角度姿态	5.33	2.77
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.09	0.97	-3.48	-3.48	-0.37	5.17	2.68	95.83	相对角度姿态	5.17	2.68
Mac:DA:3E:20:B6:30:BA传感器0	-0.02	0.09	0.98	-0.49	-0.49	1.59	5.03	2.5	95.71	相对角度姿态	5.03	2.5
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.08	0.97	-1.71	-1.71	-0.85	4.88	2.56	95.58	相对角度姿态	4.88	2.56
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.07	0.96	-0.31	-0.31	0.18	4.77	2.53	95.48	相对角度姿态	4.77	2.53
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.08	0.97	1.95	1.95	-0.55	4.86	2.67	95.32	相对角度姿态	4.86	2.67
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.09	0.99	1.71	1.71	0.06	4.96	2.75	95.22	相对角度姿态	4.96	2.75
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.09	0.98	-2.26	-2.26	0.85	4.97	2.76	95.24	相对角度姿态	4.97	2.76
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.08	0.97	-0.24	-0.24	0.73	4.85	2.75	95.16	相对角度姿态	4.85	2.75
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.07	0.96	-1.53	-1.53	0.85	4.78	2.79	95.11	相对角度姿态	4.78	2.79
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.08	0.98	0.18	0.18	-0.18	4.83	2.86	95.05	相对角度姿态	4.83	2.86
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.08	0.97	0.92	0.92	0.79	4.87	2.87	95.02	相对角度姿态	4.87	2.87
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.09	0.98	2.87	2.87	-0.61	5.08	2.89	94.89	相对角度姿态	5.08	2.89
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.09	0.98	1.59	1.59	-0.49	5.25	3.04	94.86	相对角度姿态	5.25	3.04
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.09	0.98	2.01	2.01	0	5.3	3.15	94.84	相对角度姿态	5.3	3.15
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.09	0.98	1.04	1.04	0.98	5.34	3.16	94.82	相对角度姿态	5.34	3.16
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.08	0.96	1.1	1.1	-0.98	5.34	3.32	94.76	相对角度姿态	5.34	3.32
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.08	0.96	2.69	2.69	-0.49	5.48	3.44	94.72	相对角度姿态	5.48	3.44
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.1	0.97	-0.43	-0.43	-0.67	5.65	3.47	94.69	相对角度姿态	5.65	3.47
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.1	0.98	-0.12	-0.12	0.85	5.77	3.47	94.67	相对角度姿态	5.77	3.47
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.09	0.95	2.56	2.56	1.16	5.91	3.47	94.71	相对角度姿态	5.91	3.47
Mac:DA:3E:20:B6:30:BA传感器0	-0.26	0.19	1.32	-1.04	-1.04	6.16	7.25	3.47	95.67	相对角度姿态	7.25	3.47
Mac:DA:3E:20:B6:30:BA传感器0	-0.26	0.19	1.32	-1.04	-1.04	6.16	7.25	3.47	95.67	相对角度姿态	7.25	3.47
Mac:DA:3E:20:B6:30:BA传感器0	-0.52	0.39	1.47	-33.69	-33.69	-5.31	6.3	4.62	95.45	相对角度姿态	6.3	4.62
Mac:DA:3E:20:B6:30:BA传感器0	-0.35	0.5	1.15	-98.57	-98.57	-48.65	0.98	4.75	93.12	相对角度姿态	0.98	4.75
Mac:DA:3E:20:B6:30:BA传感器0	0.17	-0.1	0.51	-90.45	-90.45	-86.24	-8.75	9.26	85	相对角度姿态	-8.75	9.26
Mac:DA:3E:20:B6:30:BA传感器0	0.26	-0.42	0.31	-10.07	-10.07	-12.7	-16.84	5.18	81.38	相对角度姿态	-16.84	5.18
Mac:DA:3E:20:B6:30:BA传感器0	0.12	-0.45	0.66	-7.51	-7.51	-8	-17.97	2.33	80.9	相对角度姿态	-17.97	2.33
Mac:DA:3E:20:B6:30:BA传感器0	0.05	-0.29	1.11	21.67	21.67	4.76	-16.38	-0.19	81.98	相对角度姿态	-16.38	-0.19
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	-0.22	1.09	11.11	11.11	0.31	-15.15	-0.59	82.68	相对角度姿态	-15.15	-0.59
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	-0.25	1.09	-2.32	-2.32	-6.77	-14.51	-1.01	82.86	相对角度姿态	-14.51	-1.01
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	-0.29	0.97	-8.24	-8.24	-0.92	-14.99	-1.13	83.11	相对角度姿态	-14.99	-1.13
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	-0.26	1.01	-1.53	-1.53	-2.56	-15.06	-1	83.34	相对角度姿态	-15.06	-1
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	-0.24	1.05	0.43	0.43	-4.58	-14.94	-1.22	83.35	相对角度姿态	-14.94	-1.22
Mac:DA:3E:20:B6:30:BA传感器0	-0.28	-0.29	0.52	11.29	11.29	-27.71	-15.89	1.66	81.96	相对角度姿态	-15.89	1.66
Mac:DA:3E:20:B6:30:BA传感器0	-0.28	-0.29	0.52	11.29	11.29	-27.71	-15.89	1.66	81.96	相对角度姿态	-15.89	1.66
Mac:DA:3E:20:B6:30:BA传感器0	0.03	-0.37	0.31	80.93	80.93	-47.61	-14.32	4.73	78.88	相对角度姿态	-14.32	4.73
Mac:DA:3E:20:B6:30:BA传感器0	-0.22	0.25	0.98	113.4	113.4	-10.68	-4.88	5.67	77.47	相对角度姿态	-4.88	5.67
Mac:DA:3E:20:B6:30:BA传感器0	0.21	0.37	1.99	26.49	26.49	-44.56	4.28	-2.32	74.28	相对角度姿态	4.28	-2.32
Mac:DA:3E:20:B6:30:BA传感器0	0.14	0.31	1.44	-6.96	-6.96	-14.28	7.26	-3.98	72.61	相对角度姿态	7.26	-3.98
Mac:DA:3E:20:B6:30:BA传感器0	0.03	0	0.96	-15.56	-15.56	-18.31	4.86	-2.47	71.5	相对角度姿态	4.86	-2.47
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.04	0.96	-0.43	-0.43	0.55	3.6	-1.87	71.61	相对角度姿态	3.6	-1.87
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.06	0.94	-1.53	-1.53	-2.5	3.53	-0.53	72.08	相对角度姿态	3.53	-0.53
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.06	1	-8.79	-8.79	-5.19	3.43	0.73	72.29	相对角度姿态	3.43	0.73
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.03	0.96	1.16	1.16	-3.11	2.78	0.92	72.44	相对角度姿态	2.78	0.92
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.05	0.93	-3.48	-3.48	-1.59	2.34	0.64	72.87	相对角度姿态	2.34	0.64
Mac:DA:3E:20:B6:30:BA传感器0	0.07	0.04	1.02	3.48	3.48	0.67	2.33	0.62	73.22	相对角度姿态	2.33	0.62
Mac:DA:3E:20:B6:30:BA传感器0	0.34	0.03	0.95	-10.25	-10.25	1.89	1.09	-1.11	73.8	相对角度姿态	1.09	-1.11
Mac:DA:3E:20:B6:30:BA传感器0	0.45	0.16	0.92	9.58	9.58	35.4	1.89	-1.2	75.86	相对角度姿态	1.89	-1.2
Mac:DA:3E:20:B6:30:BA传感器0	0.49	0.26	0.91	6.41	6.41	97.47	3.44	-0.68	81.61	相对角度姿态	3.44	-0.68
Mac:DA:3E:20:B6:30:BA传感器0	-0.02	0.4	0.91	-16.6	-16.6	131.59	2.93	-3.16	93.13	相对角度姿态	2.93	-3.16
Mac:DA:3E:20:B6:30:BA传感器0	-0.95	0.4	1.11	2.56	2.56	87.77	4.41	-1.29	103.42	相对角度姿态	4.41	-1.29
Mac:DA:3E:20:B6:30:BA传感器0	-0.57	-0.01	0.99	-10.19	-10.19	4.09	4.61	3.44	106.69	相对角度姿态	4.61	3.44
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0	0.98	-16.24	-16.24	-2.81	3.11	6.23	105.67	相对角度姿态	3.11	6.23
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.04	0.96	3.91	3.91	-3.23	2.35	7.91	104.25	相对角度姿态	2.35	7.91
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.04	1.03	-2.32	-2.32	0.79	2.52	8.75	103.49	相对角度姿态	2.52	8.75
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.03	0.98	-2.08	-2.08	5.55	2.22	8.56	103.34	相对角度姿态	2.22	8.56
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.06	0.95	1.22	1.22	-0.31	2.42	8.72	103.16	相对角度姿态	2.42	8.72
Mac:DA:3E:20:B6:30:BA传感器0	-0.13	0.04	0.95	4.64	4.64	-3.36	2.55	8.57	102.6	相对角度姿态	2.55	8.57
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.05	0.95	6.59	6.59	-0.85	2.98	8.88	101.91	相对角度姿态	2.98	8.88
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.06	0.97	2.01	2.01	0.79	3.27	8.26	101.47	相对角度姿态	3.27	8.26
Mac:DA:3E:20:B6:30:BA传感器0	-0.1	0.06	0.98	1.71	1.71	-3.72	3.28	7.41	100.93	相对角度姿态	3.28	7.41
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.07	0.99	1.4	1.4	-3.66	3.26	7.04	100.38	相对角度姿态	3.26	7.04
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.06	0.97	3.66	3.66	-2.32	3.33	6.96	99.84	相对角度姿态	3.33	6.96
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	0.05	0.97	-3.3	-3.3	-1.46	3.44	6.97	99.47	相对角度姿态	3.44	6.97
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.07	0.98	-1.77	-1.77	1.16	3.38	6.43	99.16	相对角度姿态	3.38	6.43
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.06	0.99	-4.58	-4.58	1.1	3.31	5.51	98.83	相对角度姿态	3.31	5.51
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.07	0.98	-1.95	-1.95	2.81	3.32	5.56	98.75	相对角度姿态	3.32	5.56
Mac:DA:3E:20:B6:30:BA传感器0	-0.07	0.06	0.97	-1.65	-1.65	-1.89	3.27	5.56	98.46	相对角度姿态	3.27	5.56
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.06	0.98	-0.67	-0.67	1.1	3.19	5.38	98.16	相对角度姿态	3.19	5.38
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.05	0.96	0.12	0.12	1.1	3.12	5.49	98.12	相对角度姿态	3.12	5.49
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	0.05	1	-2.08	-2.08	0.79	3	5.27	97.99	相对角度姿态	3	5.27
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	0.06	1	-0.61	-0.61	-0.43	2.89	5.26	97.81	相对角度姿态	2.89	5.26
Mac:DA:3E:20:B6:30:BA传感器0	-0.07	0.02	0.95	-0.98	-0.98	-2.08	2.49	5.37	97.47	相对角度姿态	2.49	5.37
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.03	0.97	-1.4	-1.4	1.04	2.51	5.5	97.19	相对角度姿态	2.51	5.5
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	0.04	0.99	0	0	0.98	2.53	5.45	97.09	相对角度姿态	2.53	5.45
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.04	0.98	-4.03	-4.03	1.22	2.45	4.93	97.05	相对角度姿态	2.45	4.93
Mac:DA:3E:20:B6:30:BA传感器0	-0.07	0.03	0.98	-2.26	-2.26	0.37	2.48	4.94	96.9	相对角度姿态	2.48	4.94
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	0.05	0.99	0.85	0.85	-1.34	2.59	5.03	96.69	相对角度姿态	2.59	5.03
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.07	0.99	4.15	4.15	-1.53	2.83	5.23	96.45	相对角度姿态	2.83	5.23
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	0.04	0.97	1.95	1.95	-0.85	2.78	5.29	96.28	相对角度姿态	2.78	5.29
Mac:DA:3E:20:B6:30:BA传感器0	-0.1	0.05	0.98	1.1	1.1	2.75	3	5.17	96.53	相对角度姿态	3	5.17
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.06	1	-1.83	-1.83	-0.55	3.03	5.02	96.54	相对角度姿态	3.03	5.02
