开始时间：2020年08月06日 13:51:57 												
传感器1	加速度X	加速度Y	加速度Z	角速度X	角速度Y	角速度Z	角度X	角度Y	角度Z	传感器2	加速度X	加速度Y
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.05	0.98	2.62	2.62	1.77	2.99	2.9	94.3	相对角度姿态	2.99	2.9
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.04	0.97	-0.31	-0.31	3.72	2.94	3.06	94.49	相对角度姿态	2.94	3.06
Mac:DA:3E:20:B6:30:BA传感器0	-0.13	0.05	1.13	18.43	18.43	-3.48	4.1	4.35	94.47	相对角度姿态	4.1	4.35
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.03	1.27	28.32	28.32	-21.55	6.3	5.96	93.76	相对角度姿态	6.3	5.96
Mac:DA:3E:20:B6:30:BA传感器0	-0.29	0.26	1.47	33.63	33.63	1.22	9.16	7.09	93.31	相对角度姿态	9.16	7.09
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.58	1.45	-43.03	-43.03	23.5	10.5	3.38	93.91	相对角度姿态	10.5	3.38
Mac:DA:3E:20:B6:30:BA传感器0	0.06	0.27	0.78	-102.23	-102.23	1.34	2.89	4.6	95.39	相对角度姿态	2.89	4.6
Mac:DA:3E:20:B6:30:BA传感器0	-0.2	-0.28	0.01	-65.86	-65.86	-45.84	-8.16	11.93	92.21	相对角度姿态	-8.16	11.93
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	-0.33	0.71	-2.93	-2.93	22.46	-13.89	10.45	93.19	相对角度姿态	-13.89	10.45
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	-0.28	0.89	-0.98	-0.98	-6.77	-14.65	10.91	94.03	相对角度姿态	-14.65	10.91
Mac:DA:3E:20:B6:30:BA传感器0	-0.21	-0.2	0.95	-2.56	-2.56	6.35	-15.21	10.73	95.45	相对角度姿态	-15.21	10.73
Mac:DA:3E:20:B6:30:BA传感器0	-0.25	-0.21	0.95	-30.21	-30.21	-2.81	-15.27	10.05	95.85	相对角度姿态	-15.27	10.05
Mac:DA:3E:20:B6:30:BA传感器0	-0.22	-0.2	1.07	-5.62	-5.62	13.55	-15.24	9.77	95.88	相对角度姿态	-15.24	9.77
Mac:DA:3E:20:B6:30:BA传感器0	-0.23	-0.22	0.94	8.12	8.12	-3.17	-15.22	9.45	96.41	相对角度姿态	-15.22	9.45
Mac:DA:3E:20:B6:30:BA传感器0	-0.2	-0.22	1.02	3.97	3.97	10.13	-14.17	9.51	96.39	相对角度姿态	-14.17	9.51
Mac:DA:3E:20:B6:30:BA传感器0	-0.42	-0.2	0.93	1.4	1.4	9.46	-13.41	9.28	97.84	相对角度姿态	-13.41	9.28
Mac:DA:3E:20:B6:30:BA传感器0	-0.53	-0.18	0.86	7.93	7.93	-18.62	-13	9.01	97.16	相对角度姿态	-13	9.01
Mac:DA:3E:20:B6:30:BA传感器0	-0.55	0.15	1.12	4.76	4.76	-55.85	-11.55	6.44	95.38	相对角度姿态	-11.55	6.44
Mac:DA:3E:20:B6:30:BA传感器0	0.02	-0.01	0.82	18.92	18.92	-144.96	-11.48	6.03	83.61	相对角度姿态	-11.48	6.03
Mac:DA:3E:20:B6:30:BA传感器0	0.38	-0.18	1.13	-6.84	-6.84	-87.16	-11.95	1.24	74.84	相对角度姿态	-11.95	1.24
Mac:DA:3E:20:B6:30:BA传感器0	0.47	-0.21	1.2	17.09	17.09	-54.57	-10.77	-1.2	68.71	相对角度姿态	-10.77	-1.2
Mac:DA:3E:20:B6:30:BA传感器0	0.31	-0.21	1.09	-0.61	-0.61	-8.97	-10.06	-2.76	66.7	相对角度姿态	-10.06	-2.76
Mac:DA:3E:20:B6:30:BA传感器0	0.08	-0.31	1.06	-22.16	-22.16	12.21	-11.39	-4.13	68.27	相对角度姿态	-11.39	-4.13
Mac:DA:3E:20:B6:30:BA传感器0	-0.1	-0.25	1.05	-4.39	-4.39	6.9	-12.24	-3.47	70.18	相对角度姿态	-12.24	-3.47
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	-0.15	1	19.23	19.23	-14.34	-10.84	-2.26	69.2	相对角度姿态	-10.84	-2.26
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	-0.27	1	0.92	0.92	-1.1	-11.84	-1.47	69.21	相对角度姿态	-11.84	-1.47
Mac:DA:3E:20:B6:30:BA传感器0	-0.07	-0.3	0.94	-16.66	-16.66	-6.16	-12.44	-0.76	69.6	相对角度姿态	-12.44	-0.76
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	-0.24	1.05	9.89	9.89	8.54	-11.61	-0.66	70.76	相对角度姿态	-11.61	-0.66
Mac:DA:3E:20:B6:30:BA传感器0	-0.02	-0.27	0.95	-0.85	-0.85	-1.1	-11.57	-0.68	71.54	相对角度姿态	-11.57	-0.68
